exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"tmean_lag4, ppt_lag4, tmean_lag6, tmean_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-45.031210050582146,-39.62308899490368,0.0935433891124617,0.07142157313611523
"tmean_lag5, tmean_lag0, ppt_lag4, tmean_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-49.41582810084231,-44.00770704516384,0.09372069616492376,0.07445628429847273
"tmean_lag5, ppt_lag3, tmean_lag4, ppt_lag4","ARIMAX(0,0,0)",0,0,0,-51.23045287196706,-47.36750926076815,0.0938265650000259,0.06919027116856487
"tmean_lag5, ppt_lag3, tmean_lag4","ARIMAX(0,0,0)",0,0,0,-53.085909463907754,-49.99555457494863,0.09393800878878346,0.07006463773124176
"tmean_lag5, ppt_lag3, tmean_lag4, ppt_lag4, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-49.18895808994656,-44.55342575650788,0.0940601926356039,0.06946852107384106
"tmean_lag5, ppt_lag3, tmean_lag4, tmean_lag3","ARIMAX(0,0,0)",0,0,0,-51.18681352923089,-47.32386991803198,0.09411502906674891,0.06958483320707075
"ppt_lag3, tmean_lag4, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-51.36013567922009,-47.497192068021185,0.09416691358132313,0.0688055255294783
"tmean_lag5, ppt_lag3, ppt_lag4, tmean_lag6, tmean_lag3","ARIMAX(0,0,0)",0,0,0,-50.242789167864856,-45.60725683442617,0.09440607096290589,0.07106514371755636
"tmean_lag5, ppt_lag3, tmean_lag4, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-51.06032241075678,-47.197378799557875,0.09448790521554606,0.07029437117967219
"ppt_lag3, tmean_lag0, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-50.78165154794887,-46.91870793674996,0.09452487965201829,0.06812980072184148
"tmean_lag5, ppt_lag3, ppt_lag4, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-50.81395276398408,-46.95100915278517,0.09456170384993985,0.06989753511958317
"ppt_lag3, tmean_lag4","ARIMAX(0,0,1)",0,0,1,-53.33149527199073,-50.241140383031606,0.09457138079297263,0.06899782731095705
"tmean_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-50.62946393009415,-47.53910904113502,0.09477726472576395,0.07772099047402646
"tmean_lag5, ppt_lag3, ppt_lag4","ARIMAX(0,0,0)",0,0,0,-52.8288328684466,-49.73847797948747,0.09483812516766353,0.07001234667790922
"tmean_lag5, tmean_lag0, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-51.119404697633534,-47.256461086434626,0.0949123463898511,0.07382995366197137
"tmean_lag5, ppt_lag3","ARIMAX(0,0,0)",0,0,0,-54.771596578761006,-52.45383041204166,0.09500670747681411,0.07039783499853487
"tmean_lag5, ppt_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-52.7818807210125,-49.69152583205337,0.09504965581503504,0.07043327901107362
"ppt_lag3, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-53.44854917572417,-49.58560556452526,0.09514191289994532,0.07409709167554812
"ppt_lag3, tmean_lag4, tmean_lag0, ppt_lag1","ARIMAX(0,0,2)",0,0,2,-51.048230292521936,-45.64010923684347,0.09543764786169748,0.07666219267796057
"tmean_lag5, tmean_lag0, ppt_lag4, tmean_lag6","ARIMAX(0,0,2)",0,0,2,-50.07196346869635,-44.66384241301789,0.09554520512197712,0.08049719402724077
"tmean_lag5, ppt_lag3, tmean_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-50.591732592564846,-46.72878898136594,0.09577437637314254,0.07080425093587353
"tmean_lag0, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-50.05710000525323,-46.194156394054325,0.095797347290445,0.07638454749388633
"tmean_lag5, ppt_lag3, tmean_lag6, tmean_lag3","ARIMAX(0,0,0)",0,0,0,-51.86164143943537,-47.99869782823646,0.09581981478204758,0.07311794333769517
"tmean_lag5, ppt_lag3, tmean_lag4, tmean_lag6, tmean_lag3","ARIMAX(0,0,0)",0,0,0,-49.868783457695585,-45.233251124256896,0.0958226196163155,0.07292021059320478
"ppt_lag3, tmean_lag4, ppt_lag4, tmean_lag6, tmean_lag3","ARIMAX(0,0,0)",0,0,0,-50.18669689219647,-45.55116455875779,0.09592105889577271,0.07265338243861885
"tmean_lag5, tmean_lag0, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-52.653978578497814,-48.791034967298906,0.09592584815768125,0.0760938088465752
"tmean_lag5, ppt_lag3, ppt_lag4, tmean_lag6","ARIMAX(0,0,0)",0,0,0,-51.71657543725084,-47.85363182605193,0.09595166838803013,0.07263757463329606
"ppt_lag4, tmean_lag6, tmean_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-45.828607507432075,-41.19307517399339,0.09605016619378898,0.07405011334391234
"ppt_lag3, ppt_lag4, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-52.00476395116711,-47.36923161772842,0.09605253974994164,0.07620989645929026
"tmean_lag5, tmean_lag4, tmean_lag0, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-48.62387201278034,-43.98833967934165,0.09616557203790081,0.07485457703656079
"tmean_lag5, ppt_lag3, tmean_lag4, ppt_lag4, tmean_lag6, tmean_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-46.45268547441758,-40.271975696499325,0.09617765487382442,0.07027914022606505
"tmean_lag5, ppt_lag3, tmean_lag4, ppt_lag4, tmean_lag6","ARIMAX(0,0,0)",0,0,0,-49.93142664881583,-45.29589431537714,0.09618278259199495,0.07386101463174406
"ppt_lag4, tmean_lag6","ARIMAX(0,0,1)",0,0,1,-49.522538770604925,-46.4321838816458,0.09620612049056411,0.0794235681864853
"ppt_lag3, ppt_lag4, tmean_lag6, tmean_lag3","ARIMAX(0,0,0)",0,0,0,-52.17374017127654,-48.310796560077634,0.09625310408716102,0.07354447198127873
"tmean_lag0, ppt_lag4, tmean_lag6, tmean_lag3, ppt_lag1","ARIMAX(0,0,2)",0,0,2,-45.30421720622946,-39.123507428311214,0.0963712626885126,0.08103215558694946
"tmean_lag5, ppt_lag3, tmean_lag4, tmean_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-48.92066451288811,-44.28513217944942,0.09647244313343077,0.06994807148974329
"tmean_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-50.496843723937964,-46.633900112739056,0.09650936372941347,0.07822226874404918
"tmean_lag5, ppt_lag3, ppt_lag4, tmean_lag6, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-49.72364713735789,-45.0881148039192,0.0966770049806916,0.07334250324638461
"tmean_lag5, ppt_lag3, tmean_lag4, ppt_lag4, tmean_lag6, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-47.99678347496813,-42.58866241928966,0.09668905079475118,0.07396499682714049
"tmean_lag5, ppt_lag3, tmean_lag4, tmean_lag6","ARIMAX(0,0,0)",0,0,0,-51.78546583172287,-47.92252222052396,0.09679877102500618,0.0746553985899435
"ppt_lag3, ppt_lag4, tmean_lag6","ARIMAX(0,0,0)",0,0,0,-53.844733480580565,-50.75437859162144,0.09686877112587412,0.07413117194949044
"tmean_lag5, ppt_lag3, tmean_lag6, tmean_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-50.23841990169595,-45.60288756825726,0.09690362646712235,0.07339857329621291
"tmean_lag0, ppt_lag1","ARIMAX(2,0,0)",2,0,0,-50.58195709845155,-46.71901348725264,0.09695303924930732,0.07283592487871779
tmean_lag3,"ARIMAX(0,0,1)",0,0,1,-52.1481791712047,-49.057824282245576,0.09695691030185401,0.07808863359125147
"tmean_lag4, tmean_lag0","ARIMAX(0,0,1)",0,0,1,-52.7901238422009,-49.69976895324177,0.09697502923144932,0.0745302025285835
