exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"twbs_lag5, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-52.83411188578158,-49.743756996822455,0.08283888874763949,0.06175426722854686
"twbs_lag5, ppt_lag4, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-50.76664079671529,-46.903697185516386,0.08285540735169585,0.06162276781987772
"twbs_lag5, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-50.8800919205423,-47.01714830934339,0.0828916175956063,0.06148772399139081
"twbs_lag5, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-48.542944553744796,-43.907412220306114,0.08293456285782204,0.060650342914312316
"twbs_lag5, ppt_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-48.7133347537289,-44.07780242029021,0.08301764358562948,0.06113820616797998
"twbs_lag5, twbs_lag4, ppt_lag4, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-44.8211002385615,-38.640390460643246,0.08314829822077971,0.06075417668780334
"twbs_lag5, ppt_lag4, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-46.566302288835836,-41.158181233157364,0.08315724882972184,0.06093877121877091
"twbs_lag5, twbs_lag4, ppt_lag4, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-49.0811401244024,-44.44560779096372,0.08317790464972938,0.06205610160693851
"twbs_lag5, twbs_lag4, ppt_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-46.612066194056894,-41.20394513837843,0.0832892719081043,0.061143338708460976
"twbs_lag5, twbs_lag4, ppt_lag4, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-47.05508685828005,-41.646965802601585,0.08356509418119452,0.06561629323134371
"twbs_lag5, twbs_lag4, ppt_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-46.61345395667347,-41.205332900995,0.0843539581379341,0.06166134898346073
"ppt_lag3, twbs_lag0, twbs_lag4, ppt_lag4, twbs_lag6, ppt_lag1","ARIMAX(3,0,0)",3,0,0,-48.1695688412876,-40.443681618889784,0.08442668983964165,0.06499641834466904
twbs_lag4,"ARIMAX(1,0,3)",1,0,3,-54.35372343503212,-49.71819110159343,0.08504134629028035,0.0626762333217703
"twbs_lag4, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-51.47130666699766,-48.380951778038536,0.08548317213756484,0.0638876411160009
"twbs_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-49.905135868677405,-46.0421922574785,0.08598856832740558,0.06564834443106832
"twbs_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-49.70226274204292,-45.83931913084401,0.08624657677493115,0.06640178231198288
"twbs_lag5, ppt_lag3, twbs_lag4, ppt_lag4, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-48.88289120166621,-43.47477014598775,0.08645616801548088,0.0624155672733046
"twbs_lag6, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-51.506247689348115,-48.41589280038899,0.08696730047832175,0.06745491747569632
"twbs_lag4, twbs_lag6","ARIMAX(0,0,1)",0,0,1,-51.531703777409476,-48.44134888845035,0.08710581896279158,0.06621062025116486
"twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-48.88952368241857,-45.799168793459444,0.0874258862835026,0.06731893199786884
"twbs_lag4, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-49.4271061000687,-45.56416248886979,0.08774952224923165,0.06480491987415532
"twbs_lag5, twbs_lag0, ppt_lag1","ARIMAX(0,0,2)",0,0,2,-52.855875480166915,-48.220343146728226,0.0884987646413136,0.07284306882351614
"twbs_lag5, twbs_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-51.29963443640138,-46.66410210296269,0.08901399791730089,0.07003901605005759
"twbs_lag4, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-50.92019988952098,-47.82984500056185,0.0890701809306266,0.06677982281016796
"twbs_lag4, ppt_lag4, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-49.60523503783257,-45.74229142663366,0.08912952049203192,0.0667009940011614
"twbs_lag5, ppt_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-49.07794583774514,-43.66982478206667,0.08997902605020415,0.07076169150309544
"twbs_lag4, ppt_lag4, twbs_lag6","ARIMAX(0,0,1)",0,0,1,-49.12123654499425,-45.25829293379534,0.09014294924781971,0.06802218582120209
"twbs_lag4, ppt_lag4, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-48.71739446452667,-44.85445085332776,0.09024675850696308,0.06728362071763104
"ppt_lag4, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-48.948188986385254,-45.85783409742613,0.09055009959961138,0.0679838233660495
"ppt_lag4, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-47.12181372661372,-43.258870115414815,0.0905793848455727,0.06914049744226577
"ppt_lag3, twbs_lag4, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-52.131054753436516,-48.26811114223761,0.09060222256004415,0.065632203862387
"ppt_lag3, ppt_lag4, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-50.117522291270554,-46.254578680071646,0.0907661131296848,0.06310990267943267
"twbs_lag4, ppt_lag4, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-47.22657506911189,-42.5910427356732,0.09076759713441411,0.06742644500688791
"ppt_lag3, twbs_lag4, ppt_lag4, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-50.49470657683845,-45.859174243399764,0.09088636828038672,0.0658919513687216
"twbs_lag4, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-47.35926337775587,-42.72373104431719,0.09092311356735243,0.06881977619617861
"ppt_lag3, twbs_lag4, ppt_lag4, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-50.82759120536317,-46.19205887192449,0.09098236655918755,0.06342379748431297
"twbs_lag5, twbs_lag0, twbs_lag4, ppt_lag1","ARIMAX(0,0,2)",0,0,2,-52.09890669918592,-46.69078564350745,0.09140398513147503,0.07564190537863133
"twbs_lag4, twbs_lag3","ARIMAX(0,0,3)",0,0,3,-54.56163347380095,-49.15351241812249,0.09181349869154683,0.07065756075808947
"ppt_lag3, ppt_lag4, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-48.65756063326389,-44.02202829982521,0.0920658998782494,0.06470915251671608
"twbs_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-49.18692879266694,-46.096573903707814,0.09225479646906046,0.07326338703640439
"twbs_lag5, twbs_lag0, ppt_lag4, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-47.455586858430124,-41.27487708051187,0.09238194123069095,0.06941783677304937
"twbs_lag5, ppt_lag3, twbs_lag3","ARIMAX(0,0,0)",0,0,0,-52.329065395986504,-49.23871050702738,0.09249602000582295,0.06827753656161807
"twbs_lag4, ppt_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-47.331845008671195,-42.696312675232505,0.09260508574494666,0.06996951681703541
"twbs_lag5, ppt_lag3, twbs_lag4, ppt_lag4","ARIMAX(0,0,0)",0,0,0,-50.47071995758315,-46.60777634638424,0.09275213535304608,0.06739752372180319
"twbs_lag4, ppt_lag4, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-45.25454062344117,-39.84641956776271,0.09279641882265813,0.0705355203166755
"twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-48.809124246214644,-44.946180635015736,0.09283217723473554,0.07077214369731209
"twbs_lag4, ppt_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-47.12263635216003,-42.48710401872134,0.09288211034676246,0.0705454833840528
"twbs_lag5, ppt_lag3, twbs_lag0, ppt_lag1","ARIMAX(0,0,2)",0,0,2,-51.99595648076705,-46.587835425088585,0.09319545861174092,0.07535084058832167
"twbs_lag5, twbs_lag0, ppt_lag4, twbs_lag6","ARIMAX(0,0,1)",0,0,1,-49.50773723154364,-44.872204898104954,0.09321234162204721,0.07191939153588493
"ppt_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-48.12933493034556,-44.26639131914665,0.09326575549913003,0.07094344776683166
"ppt_lag3, twbs_lag0, twbs_lag4, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-50.391331252867055,-45.75579891942837,0.09343130099929006,0.06832537188160988
"twbs_lag5, ppt_lag3, twbs_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-50.880745075598355,-47.01780146439945,0.09345244030398624,0.06848436052318661
"ppt_lag3, twbs_lag0, ppt_lag4, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-48.67516863558649,-44.0396363021478,0.09346774018004007,0.06646481007708192
"ppt_lag3, twbs_lag0, twbs_lag4, ppt_lag4, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-48.715686505976876,-43.30756545029841,0.09349583789946242,0.06882367851790518
"twbs_lag5, ppt_lag3, twbs_lag0, ppt_lag4, ppt_lag1","ARIMAX(0,0,2)",0,0,2,-50.225974852009315,-44.04526507409106,0.09359826042795528,0.07605665696400113
"twbs_lag5, twbs_lag0, ppt_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-49.10432468404315,-43.696203628364685,0.09369637379935068,0.07351568913002378
"twbs_lag5, ppt_lag3, ppt_lag4","ARIMAX(0,0,0)",0,0,0,-52.19903156454115,-49.108676675582025,0.09383552435356252,0.0685499782724915
"ppt_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-46.28366838203455,-42.42072477083564,0.0938791140769845,0.07145952050286367
"twbs_lag5, ppt_lag3, twbs_lag4","ARIMAX(0,0,0)",0,0,0,-52.144568233075844,-49.05421334411672,0.09389807099879932,0.0690443878771114
