Date,Spline_PR,Spline_WW
2020-07-01,0.2422240392307692,13.326940741923076
2020-08-01,0.1450593493548387,12.846436072580646
2020-09-01,0.0755310136666666,12.986498601666666
2020-10-01,0.0636781538709677,13.28060455451613
2020-11-01,0.083736394,13.508507853
2020-12-01,0.1210439816129032,13.854064817741936
2021-01-01,0.1739063396774193,13.906196181612904
2021-02-01,0.1255331360714285,13.623283094285714
2021-03-01,0.0915972480645161,13.45190706451613
2021-04-01,0.0831348173333333,13.396541439
2021-05-01,0.0554793032258064,13.239945099032257
2021-06-01,0.0303621049999999,13.131984915333334
2021-07-01,0.087085823548387,13.78688501483871
2021-08-01,0.1846372583870967,14.193716662258064
2021-09-01,0.131321325,13.926075637333334
2021-10-01,0.0729159177419354,13.585991755483873
2021-11-01,0.0458770366666666,13.295553020333331
2021-12-01,0.1315833841935483,13.95297891935484
2022-01-01,0.2950978532258064,14.223641458387096
2022-02-01,0.1115557564285714,13.2478062975
2022-03-01,0.0257981306451612,12.890774642580643
2022-04-01,0.0403604844,13.2310500884
