time,twbs,tmean,hurs,ppt,tdmean,Spline_PR,Spline_WW,tmean differenced,twbs differenced,Spline_WW differenced,Spline_WW differenced twice,Spline_PR differenced,Spline_PR differenced twice
2020-01-01,11.35160354692413,14.016150488964929,75.99922509632052,105.13608230077328,9.847787644870914,,,,,,,,
2020-02-01,10.50893062586353,13.340414014021372,74.10364250859284,46.2207739325504,8.818845246795705,,,-0.675736474943557,-0.8426729210606005,,,,
2020-03-01,18.066640779839624,21.3045629103047,74.42633384480727,41.85786891337661,16.568251623448077,,,7.964148896283328,7.557710153976094,,,,
2020-04-01,17.640930370729663,20.992744991567527,73.40497911123053,104.32183031587051,16.05145984510772,,,-0.311817918737173,-0.4257104091099606,,,,
2020-05-01,20.773194669017816,25.00082955780736,68.83502500664011,146.58865189394638,18.87593510620183,,,4.008084566239834,3.132264298288153,,,,
2020-06-01,23.27424032705323,27.631965093425283,69.23259001708865,170.93293517432784,21.48258547476936,,,2.631135535617922,2.501045658035416,,,,
2020-07-01,25.50454675566651,29.47678498762444,72.58268108664969,136.4068562313075,24.028483898015583,0.2422240392307692,13.326940741923076,1.8448198941991585,2.2303064286132788,,,,
2020-08-01,24.86391490345036,29.59936380744715,67.70866778031636,79.09878211668862,22.99153468999528,0.1450593493548387,12.846436072580646,0.12257881982271002,-0.6406318522161492,-0.4805046693424302,,-0.0971646898759305,
2020-09-01,22.702721196548467,26.591811533322165,71.94931708379966,251.8402005018119,21.11473867769677,0.0755310136666666,12.986498601666666,-3.0075522741249863,-2.1611937069018943,0.1400625290860198,0.62056719842845,-0.069528335688172,0.0276363541877584
2020-10-01,18.215215916423286,21.605492648516712,73.37874577300927,37.868302731620446,16.63646185714826,0.0636781538709677,13.28060455451613,-4.986318884805453,-4.4875052801251805,0.2941059528494634,0.1540434237634436,-0.0118528597956989,0.0576754758924731
2020-11-01,15.403438017215066,19.03373951985084,70.19307674748467,106.46937103991304,13.47599185700041,0.083736394,13.508507853,-2.571753128665872,-2.81177789920822,0.22790329848387,-0.0662026543655933,0.0200582401290323,0.0319110999247312
2020-12-01,9.579673864580167,12.583340565693668,72.03889067876808,145.35493243472072,7.6726427523115746,0.1210439816129032,13.854064817741936,-6.450398954157173,-5.823764152634899,0.3455569647419363,0.1176536662580662,0.0373075876129031,0.0172493474838708
2021-01-01,9.025236834334605,12.43280357237339,68.01191164042564,90.85258456211788,6.687737176946167,0.1739063396774193,13.906196181612904,-0.15053699332027826,-0.5544370302455626,0.0521313638709681,-0.2934256008709681,0.0528623580645161,0.0155547704516129
2021-02-01,7.921418940803407,10.598256632623997,74.11215739471008,48.76798480056115,6.174156472891829,0.1255331360714285,13.623283094285714,-1.8345469397493925,-1.1038178935311975,-0.2829130873271896,-0.3350444511981578,-0.0483732036059908,-0.1012355616705069
2021-03-01,14.404770400647052,17.903292912918616,70.6622460123857,42.19443186516732,12.493666636159212,0.0915972480645161,13.45190706451613,7.305036280294619,6.483351459843646,-0.1713760297695845,0.1115370575576051,-0.0339358880069123,0.0144373155990784
2021-04-01,16.140472246962375,19.908424450669614,69.57501230055121,50.27705264785341,14.176261605016022,0.0831348173333333,13.396541439,2.005131537750998,1.7357018463153224,-0.0553656255161296,0.1160104042534548,-0.0084624307311828,0.0254734572757295
2021-05-01,21.15837605209567,24.246169955637168,76.71523766250519,337.7504408402361,19.895519292074383,0.0554793032258064,13.239945099032257,4.337745504967554,5.017903805133294,-0.1565963399677432,-0.1012307144516135,-0.0276555141075269,-0.0191930833763441
