time,twbs,tmean,hurs,ppt,tdmean
2020-01-01,11.35160354692413,14.016150488964929,75.99922509632052,105.13608230077328,9.847787644870914
2020-02-01,10.50893062586353,13.340414014021372,74.10364250859284,46.2207739325504,8.818845246795705
2020-03-01,18.066640779839624,21.3045629103047,74.42633384480727,41.85786891337661,16.568251623448077
2020-04-01,17.640930370729663,20.992744991567527,73.40497911123053,104.32183031587051,16.05145984510772
2020-05-01,20.773194669017816,25.00082955780736,68.83502500664011,146.58865189394638,18.87593510620183
2020-06-01,23.27424032705323,27.631965093425283,69.23259001708865,170.93293517432784,21.48258547476936
2020-07-01,25.50454675566651,29.476784987624438,72.58268108664969,136.4068562313075,24.028483898015583
2020-08-01,24.863914903450354,29.59936380744715,67.70866778031636,79.09878211668862,22.991534689995277
2020-09-01,22.702721196548467,26.591811533322165,71.94931708379966,251.8402005018119,21.11473867769677
2020-10-01,18.215215916423286,21.605492648516712,73.37874577300927,37.868302731620446,16.63646185714826
2020-11-01,15.403438017215066,19.033739519850837,70.19307674748467,106.46937103991303,13.47599185700041
2020-12-01,9.579673864580167,12.583340565693668,72.03889067876808,145.35493243472072,7.6726427523115746
2021-01-01,9.025236834334605,12.43280357237339,68.01191164042564,90.85258456211788,6.687737176946167
2021-02-01,7.921418940803407,10.598256632623995,74.11215739471008,48.76798480056115,6.174156472891829
2021-03-01,14.404770400647052,17.903292912918616,70.6622460123857,42.19443186516732,12.493666636159212
2021-04-01,16.140472246962375,19.908424450669614,69.57501230055121,50.27705264785341,14.176261605016022
2021-05-01,21.15837605209567,24.246169955637168,76.71523766250519,337.7504408402361,19.895519292074383
2021-06-01,24.444279207421744,28.233937576847126,73.30675296781531,204.05017827611672,22.99750668334561
2021-07-01,24.803387363762678,28.52277261547837,73.88642808585425,184.02083895012538,23.40636919568326
2021-08-01,25.160691426685567,29.41142643824289,70.74642328128701,101.91235939354718,23.53956997358569
2021-09-01,22.01274901539487,26.222893863971244,69.56289969678619,177.21594210153472,20.214412736739337
2021-10-01,19.37261240696319,23.664630479147352,67.67124934730408,140.06655400226356,17.330120895463928
2021-11-01,13.110071572067731,16.280444103683926,72.5944977354687,67.48916448880918,11.344291000403013
2021-12-01,16.42942368249417,18.971318226279386,79.08164278537924,56.80560856535801,15.260546329046242
2022-01-01,7.438323441492932,11.063465966278967,64.73344352251596,88.0623047780515,4.669510567929274
2022-02-01,7.583371700797237,10.69985969439457,69.66165668970949,55.56624288132201,5.3769540041010515
2022-03-01,11.672586059193232,16.03711648523381,61.96712868275873,77.37325614008742,8.745155792608527
2022-04-01,17.756434377953056,22.199334164196078,65.71378799233612,55.72430023331353,15.473278897008468
2022-05-01,22.84669798496795,27.110155511965754,69.62766906926178,91.3476056473811,21.075671283190545
2022-06-01,24.389032386522118,29.98981087514531,62.486350242792234,13.159190468573236,22.03880961411769
2022-07-01,25.11487615608401,30.6323556230107,63.35226040301828,65.24195997233552,22.873901014100966
2022-08-01,24.97681636530013,29.277703225990116,70.36271279872527,207.69244399395075,23.320926737767447
2022-09-01,22.08266022949426,27.08803701686934,64.63520593113972,61.57750665374225,19.849683873177245
2022-10-01,16.060743370311968,21.32516999298534,58.96745865504955,67.53153159287376,12.975748453608592
2022-11-01,13.359394126144498,16.02036588120462,76.92908096079327,176.38358064304882,11.974028207271209
2022-12-01,10.714520825744497,13.886166891938757,71.21742507318876,90.01583495977741,8.75810538618018
2023-01-01,11.787159113760039,15.102230612546947,70.65050489995319,192.75304789580915,9.803568793855412
2023-02-01,12.66123183432696,15.838170415080882,72.3047327384721,33.390926715205936,10.857661100829363
2023-03-01,15.549314519807895,19.25666279470098,69.69913515360267,41.97375757866434,13.580875089828252
2023-04-01,16.869182122356605,20.346313698288302,72.11003165452381,147.4455491826579,15.152312940714888
2023-05-01,21.297208887274813,24.966141903331994,72.80444151088693,175.14499923655438,19.742094858617754
2023-06-01,24.76819045877195,29.35768540684033,68.53990281175159,81.25944315251432,22.961238142263408
2023-07-01,25.65865319650559,30.91205344293463,65.13226152398498,63.78146188080507,23.59331696785069
2023-08-01,25.335705378579448,32.317290003455035,55.792666463074326,5.284903785296418,22.350471863460868
2023-09-01,23.810431933515368,29.563015468878906,61.30024195076584,81.87896902485102,21.32294463558774
2023-10-01,18.584417575357428,22.61600460306918,69.02301235951619,120.88109645016586,16.641659978271218
2023-11-01,12.70933220833648,15.90765096172923,72.14906824506593,70.31178862719507,10.891069201923699
2023-12-01,10.52832500966908,14.088674412335196,67.73899089894869,105.81076725292964,8.209217683157272
