,time,twbs,tmean,hurs,ppt,tdmean,Spline_WW,Spline_PR,Spline_WW differenced
76,2020-03-17,19.42263713671736,20.90516915542505,88.11188375372053,0.4729055706965159,18.856210234479736,,,
77,2020-03-18,21.17862739235898,24.16977669428759,77.41246859352535,0.1951861468910345,19.959127035734657,,,
78,2020-03-19,21.361742693251724,24.618707434665435,75.61438684651728,0.0,20.02136588282986,,,
79,2020-03-20,22.079134674598414,25.32948996558875,75.93047322180588,1.1448005244618,20.774038188058665,,,
80,2020-03-21,16.96906249282875,18.65019455942694,86.14121287382486,20.35695403966245,16.27850488031327,,,
81,2020-03-22,13.988651245305078,14.477719196512666,95.92184249204082,9.246031394696704,13.83054419785201,,,
82,2020-03-23,19.660276647442064,19.947837723386023,97.62037999637576,1.7831997770632133,19.55453269139321,,,
83,2020-03-24,21.732826382312307,24.81105224276762,76.98398274766511,0.0,20.497641153684523,,,
84,2020-03-25,22.00089829143553,25.57772427160709,73.70367939972311,0.0,20.531835776896138,,,
85,2020-03-26,21.62750041328807,25.24826300367601,73.27616723086658,0.0,20.109348405201303,,,
86,2020-03-27,21.98102617319291,25.34937383467584,75.09982658775051,0.0,20.612395279818077,,,
87,2020-03-28,22.295778567229394,26.64082020238012,68.85282696786528,0.0597755569296375,20.439944270185,,,
88,2020-03-29,16.463989369634064,19.273859308893595,77.02986535105343,0.8062082664230417,15.13736744323378,,,
89,2020-03-30,14.18949211646258,20.38262677478245,51.261411020458674,9.266268180719432e-05,9.969075889215365,,,
90,2020-03-31,21.04317781093136,24.004330978332725,77.57923105621849,0.248732869039612,19.83478549043227,,,
91,2020-04-01,13.832127700503372,17.22889619946196,71.17258836992335,0.0,11.951232657077076,,,
92,2020-04-02,13.910182744079496,17.761425804210052,67.61916646399052,0.0,11.686253257147516,,,
93,2020-04-03,18.514461539396503,21.177201511389647,78.86371955928624,0.1133789302580688,17.360992507543223,,,
94,2020-04-04,18.7249153886576,20.17928127178576,88.21767528179264,12.9303091972149,18.16194240340798,,,
95,2020-04-05,13.553844205139312,14.056182783411735,95.8059652621006,19.111488761090115,13.38959617963584,,,
96,2020-04-06,17.000892649795176,18.919017109466623,84.26818091993268,0.0018289407200796,16.18820733045667,,,
97,2020-04-07,21.235019635771128,21.663446100930354,96.47418582649088,3.026872371627406,21.07586189596715,,,
98,2020-04-08,23.255710528829702,26.015309131695727,79.65733839925218,0.0,22.223463989432883,,,
99,2020-04-09,23.291190950666284,26.067062080749444,79.55931053293895,0.0,22.252540934679853,,,
100,2020-04-10,21.95324755267909,25.28795549844757,75.31301239746932,14.823069677253068,20.60186430490541,,,
101,2020-04-11,15.774660057594598,19.5577997327041,69.2773204471945,0.0,13.770778681472397,,,
102,2020-04-12,20.21328646299936,21.210056424896223,92.0019928888545,0.0442724932734752,19.853177854015883,,,
103,2020-04-13,16.464660523021426,21.84411643384312,58.60073865241462,0.7531539756565181,13.34743479199629,,,
104,2020-04-14,10.582401475074748,14.795829703147936,62.27573443940607,0.0,7.644961101485627,,,
105,2020-04-15,10.173900687285052,14.80826133780792,58.49178892623208,0.0,6.735417368618146,,,
106,2020-04-16,9.87234750392965,14.884009994732342,55.15037002344443,0.0,5.952935799709667,,,
107,2020-04-17,14.302762961352624,18.14314029574505,67.94574633171293,0.0,12.123411984256212,,,
108,2020-04-18,19.549934156141077,21.546578573496703,84.17923462898493,1.035390403353618,18.758290030742547,,,
109,2020-04-19,19.33057511988276,19.953867939184686,94.9086839095622,7.083526908749069,19.10819294857553,,,
110,2020-04-20,21.197557217812477,22.464766015401967,89.99337167544581,11.361362965983718,20.73552664043395,,,
111,2020-04-21,19.895532671400755,22.7205994791417,78.14959748446152,0.0,18.70704663342092,,,
112,2020-04-22,21.075137930596654,24.908592365336872,71.60445969560881,0.0,19.41187451001113,,,
113,2020-04-23,23.699693229810386,25.551361506586005,86.09560219439864,0.0329646636654157,23.045682105870167,,,
114,2020-04-24,16.952345684688083,22.82630542460053,55.7641545018827,0.0,13.51814529858679,,,
115,2020-04-25,19.80393044827187,24.27664734043135,66.72721913505265,0.8590237973533196,17.674798298176547,,,
116,2020-04-26,15.561872824651328,20.081085716017693,63.80268959067652,1.92553489877413,12.99760746997085,,,
117,2020-04-27,15.417810529251335,21.541638005932064,52.83076365190002,0.0,11.505553651174248,,,
118,2020-04-28,19.64786672193101,22.957617371308803,74.58842611489673,0.0010053695902538,18.193396588331883,,,
119,2020-04-29,22.289168751218803,22.60293340358085,97.36754137920096,28.494632058247586,22.157952390427685,,,
120,2020-04-30,14.546759226798832,19.78794143988513,57.88788660420891,2.7289058530221824,11.251356287195112,,,
121,2020-05-01,14.98178113133988,20.910046905585254,53.676112718750765,0.0,11.159692448565218,,,
122,2020-05-02,17.887718458701077,22.38978370297345,65.39303086872673,0.0,15.575530330002866,,,
123,2020-05-03,20.79888800271348,24.973709827526925,69.20619837047686,0.0,18.934270077884708,,,
124,2020-05-04,21.382597602951893,25.64253010674172,68.95100440397273,0.0,19.51060216455584,,,
125,2020-05-05,22.76323500388037,26.63947389622024,72.06682199631776,0.0,21.182105151176355,,,
126,2020-05-06,21.671261507206477,25.065342442297457,74.80043708399708,10.804703024706756,20.27392865304957,,,
127,2020-05-07,16.100395833400515,22.30682326721976,52.93494476387128,0.0285550866770977,12.241391500638722,,,
128,2020-05-08,19.58949198736637,23.47050712381775,70.58158134846157,0.0027997596430681,17.805905312618187,,,
129,2020-05-09,19.53725595746767,24.041247446451376,66.38391151761452,1.284240362493565,17.365527356816898,,,
130,2020-05-10,13.522893402574873,18.21719295452415,60.956330292288165,0.0,10.556541404093506,,,
131,2020-05-11,15.71547934320236,21.300298954226587,56.5511608977368,0.0,12.311483092902712,,,
132,2020-05-12,17.933005150379575,22.88045725368088,62.43729115935699,0.0,15.315455206955855,,,
133,2020-05-13,21.243550771465905,24.95678299077573,72.47611954982936,3.325239913909958,19.661863508155385,,,
134,2020-05-14,22.522816860226737,25.783315357958152,76.02194942107485,2.1032543261536776,21.233330429919725,,,
135,2020-05-15,22.827657565153352,26.37578621241749,74.23122905260571,2.942049206917412,21.41239445521619,,,
136,2020-05-16,22.406199867909624,25.0765285037535,80.0499182103749,39.8269611855792,21.382058439511777,,,
137,2020-05-17,19.780350686252262,22.97941173483546,75.4097253502491,1.052311960342094,18.39534030197955,,,
138,2020-05-18,19.98738528617498,24.434356839444032,66.98512038816521,0.1121735219520298,17.90139898283749,,,
139,2020-05-19,21.217611934307865,26.693490212406587,61.29975308119329,0.0,18.61706115797295,,,
140,2020-05-20,23.99218273141326,27.61487732583472,74.19274001397974,0.0,22.597560518639117,,,
141,2020-05-21,24.335220338470947,28.20217575425129,72.78311621480096,0.0,22.843955365277107,,,
142,2020-05-22,24.10027316229697,27.60729670818728,74.96962245676445,0.0,22.76584452848958,,,
143,2020-05-23,25.00699231448677,28.67281116047062,74.29666867669303,0.0,23.642126864326915,,,
144,2020-05-24,24.83236660690205,28.652786930196616,73.26913267157727,0.4802135080150103,23.38834426138352,,,
145,2020-05-25,22.188479010842084,25.07524302338968,78.45698682382577,44.63276163520522,21.060367651516408,,,
146,2020-05-26,20.849892467572182,24.055841809894304,75.78885125037215,11.65389145743406,19.512902696356672,,,
147,2020-05-27,20.57092520336404,24.663146716957872,69.63634524486856,0.4234676645909455,18.737887988965745,,,
148,2020-05-28,20.57122429977488,24.708429791023534,69.3233084406055,23.40959321458604,18.71122284800048,,,
149,2020-05-29,22.441372269800656,25.47472565969369,77.54072620020723,4.321198280911672,21.25737287483769,,,
150,2020-05-30,21.264374683573983,25.872370003292104,66.64710651898496,0.0195915695596057,19.18735770355269,,,
151,2020-05-31,22.37382969089332,26.548331799072532,69.96921390165069,0.1703172244195627,20.617732443165963,,,
152,2020-06-01,22.908474009739063,25.82467723781141,78.49649715768875,10.123355347282043,21.792685964060723,,,
153,2020-06-02,22.591609719442708,25.89913680343106,75.7267347026316,0.7177394323871946,21.28305885730856,,,
154,2020-06-03,23.228808781107546,27.47800956728489,69.88882160988095,0.0,21.488876665335688,,,
155,2020-06-04,24.046182404982144,26.857048899983223,79.53729256976709,10.562183905971413,23.017375613262452,,,
156,2020-06-05,24.185839971343217,27.83199055337756,74.11542063458641,2.179239638883552,22.79125313121857,,,
157,2020-06-06,24.072161430727256,28.10117968173976,71.64651442550144,0.0,22.49212521421621,,,
158,2020-06-07,24.473020264213595,29.068324907192764,68.35775431348016,2.2939424186999067,22.643443955041175,,,
159,2020-06-08,24.31649810572593,29.17000864877261,66.74978191234977,0.053481627985452,22.34596849671641,,,
160,2020-06-09,25.53115703502488,30.13669930778097,68.78696842603392,0.6623423269141862,23.765963613144443,,,
161,2020-06-10,25.153410405190588,29.52418775340145,70.04526867804506,0.6008696569570225,23.467352231633114,,,
162,2020-06-11,17.97949597588613,25.67065545970688,46.3333496337033,0.0,13.281869601523644,,,
163,2020-06-12,18.53627012664562,26.043062815110854,47.78644232642689,0.0,14.108656866649604,,,
164,2020-06-13,19.27077984956741,26.19013322414285,51.58013172105552,0.0,15.430392461269388,,,
165,2020-06-14,19.340762902376124,26.390076827376877,50.932952994482456,0.0,15.417607417254311,,,
166,2020-06-15,22.4846598565502,27.91069463953779,62.36542962077858,0.0477058464367049,20.04452604351243,,,
167,2020-06-16,23.252138651575688,27.48744048855137,69.98767202997566,0.1933831522265205,21.5207483652679,,,
168,2020-06-17,21.630705703268653,27.020349588814994,62.053324774536826,0.0055482294974928,19.128472677540728,,,
169,2020-06-18,21.946139530299625,27.233057619815902,62.85664648647996,0.0,19.53630195056674,,,
170,2020-06-19,22.620163003332276,27.712185616171528,64.41386738530139,0.0,20.384401340988543,,,
171,2020-06-20,23.973309397407707,28.14774060971205,70.68995849019655,3.75588810350305,22.31864503316197,,,
172,2020-06-21,24.450204092517264,27.684138145866303,76.86366937548117,9.38703364262826,23.253618941513672,,,
173,2020-06-22,25.131430506807245,28.530031629724373,76.03964808382949,6.639777485546217,23.888753831345664,,,
174,2020-06-23,22.60758211967039,24.850373367336044,83.08328290860824,38.07368251003675,21.78044149825904,,,
175,2020-06-24,24.00357868511774,26.902102967812656,78.94413629714492,24.919391831258075,22.935004147489604,,,
176,2020-06-25,23.94329284253118,26.205961192099203,83.25141228156255,38.68603499718856,23.13720939166917,,,
177,2020-06-26,24.38398449664102,26.711354017253733,82.90536481995937,21.840547841420783,23.561988664073134,,,
178,2020-06-27,26.001980897372608,27.910712017026366,86.08694313821553,0.133967875143691,25.364629570036048,,,
179,2020-06-28,26.034156663790803,29.281952325899677,77.28792642929736,0.0363260001847354,24.89080409352729,,,
180,2020-06-29,25.89134657916844,29.598398055725163,74.36939593404992,0.0246176511083208,24.54975821110336,,,
181,2020-06-30,26.135447459405995,29.69741076801929,75.34895281206018,0.000967753433048,24.86595420984744,,,
182,2020-07-01,26.26323809302836,30.001644986869845,74.30989104706876,0.0,24.92454524891189,,,
183,2020-07-02,26.07633747570243,30.19371342706479,71.93300432158487,0.0,24.56520235023569,,,
184,2020-07-03,25.678303290873224,29.995132567638237,70.56892582441958,0.0,24.05663106657536,,,
185,2020-07-04,24.441702557906076,29.16002264435525,67.60210724537941,0.0,22.549629925754378,,,
186,2020-07-05,25.14668942076109,29.563403371226155,69.73216001417397,0.0,23.44735171077503,,,
187,2020-07-06,25.599111843508556,29.79275124442317,71.27607208989065,0.0095728424956359,24.02920453262009,13.73605824,0.27872416,
188,2020-07-07,26.042643416206214,29.73075189190332,74.5300822516836,1.8794925346971072,24.71708340572052,13.69574338,0.27457898,-0.04031486000000051
189,2020-07-08,25.954606314385323,29.99729493983165,72.32639175581646,1.7975067828390063,24.47183829376372,13.65634186,0.27135452,-0.03940152000000019
190,2020-07-09,26.05553548762529,30.538246922502328,69.74670686716739,0.0,24.37981647085768,13.61788282,0.26845345,-0.038459039999999334
191,2020-07-10,25.877295705154967,30.21613768643873,70.52419320410249,0.0,24.25603310819553,13.58038807,0.26636285,-0.037494750000000465
192,2020-07-11,26.44802249099366,31.01598574372381,69.4331191524456,0.0,24.756303631645636,13.54387262,0.26333999,-0.03651544999999956
193,2020-07-12,25.93635269531984,30.724380228939022,67.92645053689463,0.0,24.111560500043478,13.50834524,0.26021015,-0.03552737999999955
194,2020-07-13,26.132207721627093,30.73063195992899,69.10652509881815,0.0,24.40856001374491,13.47380909,0.25976912,-0.03453615000000099
195,2020-07-14,25.977361662424425,31.06863423264734,66.21644966853319,0.0,24.01253669021938,13.44026242,0.25666681,-0.03354666999999978
196,2020-07-15,25.618466413764004,30.652763459289837,66.35485948456392,0.0,23.655045986676967,13.40769917,0.25450949,-0.032563249999999044
197,2020-07-16,25.478768145327773,30.440688941238328,66.69157160128998,0.0,23.54035512503061,13.37610974,0.25395977,-0.03158943000000036
198,2020-07-17,25.657904577911943,30.78054664127881,65.86580687405733,0.1487735319072088,23.65599858100868,13.34548155,0.25130386,-0.030628189999999833
