exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"ppt_lag3, twbs_lag4, twbs_lag3, twbs_lag5, twbs_lag2","ARIMAX(0,0,1)",0,0,1,10.864279256707336,17.044989034625587,0.4276959857090214,0.41488539271934766
"ppt_lag3, twbs_lag3, twbs_lag5, ppt_lag4","ARIMAX(0,0,0)",0,0,0,16.891157375866822,21.526689709305508,0.42782306516987845,0.40133463281742054
"ppt_lag3, ppt_lag2, twbs_lag3, twbs_lag5, ppt_lag4","ARIMAX(0,0,0)",0,0,0,12.793455815439554,18.20157687111802,0.42874507930171435,0.3959498461684676
"ppt_lag3, ppt_lag2, ppt_lag4","ARIMAX(0,0,0)",0,0,0,12.283189864862507,16.146133476061415,0.4288675266150591,0.336604623620425
"ppt_lag3, ppt_lag4","ARIMAX(0,0,0)",0,0,0,13.306708839639631,16.397063728598756,0.4295340634981315,0.3860786807031382
"ppt_lag3, ppt_lag2, twbs_lag3, twbs_lag5","ARIMAX(0,0,0)",0,0,0,11.10531226088355,15.740844594322237,0.4321399986584718,0.39206982175584537
"twbs_lag3, twbs_lag5, twbs_lag2, ppt_lag4","ARIMAX(1,0,0)",1,0,0,20.62817513116236,26.03629618684083,0.4322631125830672,0.37865747815606277
"ppt_lag3, ppt_lag2, twbs_lag3, twbs_lag2, ppt_lag4","ARIMAX(1,0,0)",1,0,0,19.932265454831178,26.112975232749427,0.43676727885320826,0.4209893855568758
"ppt_lag3, twbs_lag4, twbs_lag3, ppt_lag4","ARIMAX(0,0,0)",0,0,0,16.024932632325875,20.66046496576456,0.4393251978129778,0.4335171801199933
"ppt_lag3, twbs_lag4, twbs_lag2, ppt_lag4","ARIMAX(0,0,0)",0,0,0,16.218614870656697,20.854147204095383,0.4400014644948202,0.41568828616597076
"ppt_lag3, twbs_lag3, twbs_lag5, twbs_lag2, ppt_lag4","ARIMAX(2,0,1)",2,0,1,37.30820709219614,44.26150559235417,0.44336117220251986,0.38295938231929405
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag5, ppt_lag4","ARIMAX(0,0,0)",0,0,0,13.956494073194742,19.364615128873208,0.4438306330932712,0.36877782993640285
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag5","ARIMAX(0,0,0)",0,0,0,15.544501256119332,20.18003358955802,0.4440876709822352,0.32610196947541814
"ppt_lag3, twbs_lag4, twbs_lag2","ARIMAX(0,0,0)",0,0,0,14.249940610078433,18.11288422127734,0.4441623739266095,0.4196702023788901
"ppt_lag3, twbs_lag4, twbs_lag3, twbs_lag5, ppt_lag4","ARIMAX(2,0,1)",2,0,1,29.82066335082316,36.773961850981195,0.44418937328743274,0.4424203704286862
"twbs_lag3, ppt_lag4","ARIMAX(0,0,1)",0,0,1,11.872333143425381,15.735276754624287,0.44516855170842684,0.4073825886906941
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag3","ARIMAX(0,0,0)",0,0,0,11.110770460320099,15.746302793758785,0.44572689158384693,0.412381167454857
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag3, ppt_lag4","ARIMAX(0,0,0)",0,0,0,12.448560432893247,17.856681488571716,0.44599025785687607,0.41651819662986167
"twbs_lag5, twbs_lag2, ppt_lag4, twbs_lag1","ARIMAX(3,0,1)",3,0,1,31.41247113944631,39.138358361844126,0.4461470771244504,0.4062768152947154
"ppt_lag3, twbs_lag3, twbs_lag2, ppt_lag4","ARIMAX(0,0,0)",0,0,0,16.746465298602903,21.38199763204159,0.44700742251385783,0.40173509134232166
"twbs_lag4, twbs_lag3, ppt_lag4","ARIMAX(0,0,1)",0,0,1,10.84901255038665,15.484544883825336,0.44743995589551794,0.4358676757439728
"ppt_lag3, twbs_lag4, twbs_lag3, twbs_lag2","ARIMAX(0,0,0)",0,0,0,15.884955085085371,20.52048741852406,0.45224720642275545,0.4437068975870595
"twbs_lag5, twbs_lag2","ARIMAX(1,0,0)",1,0,0,16.1720956314546,20.035039242653504,0.4524135542714757,0.41286043272286754
"ppt_lag3, ppt_lag2, twbs_lag3","ARIMAX(0,0,0)",0,0,0,11.78751386477511,15.650457475974019,0.454285640874154,0.37715446921764073
"ppt_lag3, twbs_lag2","ARIMAX(0,0,0)",0,0,0,13.163628713341904,16.253983602301027,0.4547224294552069,0.41818586804084923
"ppt_lag3, twbs_lag4, twbs_lag3, twbs_lag2, ppt_lag4","ARIMAX(2,0,0)",2,0,0,30.522322157943762,37.47562065810179,0.4579834694610019,0.3950817616455513
"ppt_lag3, twbs_lag3, twbs_lag2","ARIMAX(0,0,0)",0,0,0,14.86720598705573,18.730149598254638,0.45862718190904916,0.40874082814278045
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag2","ARIMAX(0,0,0)",0,0,0,10.740224530245968,15.375756863684654,0.4588205734113845,0.40429379375439867
"ppt_lag2, twbs_lag3, twbs_lag5","ARIMAX(0,0,1)",0,0,1,13.272017967250381,17.907550300689067,0.4615435195741746,0.40304865826917435
"ppt_lag2, twbs_lag3, twbs_lag5, ppt_lag4","ARIMAX(0,0,0)",0,0,0,18.59520771833374,23.230740051772422,0.4640406169465634,0.40885533801669727
"ppt_lag3, twbs_lag4, twbs_lag3, twbs_lag1","ARIMAX(0,0,0)",0,0,0,15.81994174387696,20.455474077315646,0.4662324111606679,0.45447998519091204
"ppt_lag3, twbs_lag4, twbs_lag3, twbs_lag5","ARIMAX(2,0,1)",2,0,1,27.304805240557226,33.485515018475475,0.468027094533191,0.46538640280843646
"twbs_lag4, twbs_lag5, ppt_lag4, twbs_lag1","ARIMAX(2,0,1)",2,0,1,32.59481786291358,38.775527640831825,0.46823081125330285,0.4504267853864232
"twbs_lag4, twbs_lag2","ARIMAX(0,0,1)",0,0,1,12.100900850021706,15.96384446122061,0.4683306349383959,0.39383683130651814
"ppt_lag3, twbs_lag3, twbs_lag5","ARIMAX(0,0,1)",0,0,1,12.126124687310295,16.76165702074898,0.46837674471660284,0.4410508957923249
"ppt_lag3, ppt_lag2, twbs_lag3, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,10.886259181319005,16.294380236997473,0.4688635888392561,0.40107903204819895
"ppt_lag3, ppt_lag2, twbs_lag2","ARIMAX(0,0,0)",0,0,0,9.862545552655765,13.725489163854672,0.4732302029708901,0.3978138903779631
"ppt_lag2, twbs_lag5, ppt_lag4","ARIMAX(0,0,0)",0,0,0,16.495996609446983,20.35894022064589,0.47420283612271563,0.41595087633350936
"ppt_lag2, twbs_lag5","ARIMAX(0,0,0)",0,0,0,14.496135679974843,17.586490568933968,0.47447997153554977,0.416388967183007
"twbs_lag3, twbs_lag5, twbs_lag2","ARIMAX(1,0,0)",1,0,0,17.90762732480365,22.543159658242338,0.4768723440249625,0.4487916217502348
"ppt_lag3, twbs_lag4, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,15.801580390361536,20.437112723800222,0.4792239037551332,0.4562716474527897
"twbs_lag4, ppt_lag2, twbs_lag3, twbs_lag5, ppt_lag4","ARIMAX(0,0,0)",0,0,0,22.57048922410306,27.978610279781527,0.4799685283911047,0.44229401960970405
"twbs_lag4, ppt_lag4, twbs_lag1","ARIMAX(1,0,2)",1,0,2,14.209799505889315,20.390509283807564,0.48016580267634346,0.46246389290943934
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag5, twbs_lag2","ARIMAX(2,0,1)",2,0,1,28.17520305476914,35.90109027716695,0.4801824916972233,0.42724414482728434
"twbs_lag4, ppt_lag2, twbs_lag5, ppt_lag4","ARIMAX(0,0,0)",0,0,0,18.43904624885875,23.074578582297438,0.48028521745933683,0.41487154137974613
"ppt_lag3, ppt_lag2, twbs_lag3, twbs_lag2","ARIMAX(0,0,0)",0,0,0,11.326019865635232,15.961552199073918,0.48098622246431705,0.39462463313372886
"twbs_lag4, ppt_lag2, twbs_lag5","ARIMAX(0,0,0)",0,0,0,16.449882913663266,20.312826524862174,0.4816429796711503,0.4177769256472108
"twbs_lag4, twbs_lag5, twbs_lag2","ARIMAX(1,0,0)",1,0,0,17.573609188595647,22.20914152203433,0.48245147466040555,0.4707615485794294
"ppt_lag3, twbs_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,13.866944624882942,17.729888236081848,0.48339246917366924,0.4605923912249712
"ppt_lag2, twbs_lag5, twbs_lag2, ppt_lag4","ARIMAX(0,0,0)",0,0,0,18.3351560404211,22.970688373859787,0.48415945884071887,0.43115478894342196
"twbs_lag5, ppt_lag4","ARIMAX(1,0,0)",1,0,0,17.073586551960894,20.936530163159798,0.48451227482759374,0.44450687180119397
"twbs_lag3, twbs_lag2","ARIMAX(2,0,0)",2,0,0,13.831656511806463,18.467188845245147,0.4847994994763084,0.4041843748831262
"twbs_lag4, twbs_lag3, twbs_lag5, ppt_lag4","ARIMAX(2,0,2)",2,0,2,19.692912382295734,27.418799604693547,0.48498737500063527,0.4645951394599379
