exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"twbs_lag120, twbs_lag135, twbs_lag90, twbs_lag165, twbs_lag180","ARIMAX(2,1,1)",2,1,1,-8046.940412194683,-8008.569827831358,0.9646422246008459,0.7731582191599693
"twbs_lag105, twbs_lag150, twbs_lag90, twbs_lag165, twbs_lag180","ARIMAX(2,1,3)",2,1,3,-7923.959974309846,-7872.799195158746,0.9714313870779568,0.8610211103138562
"twbs_lag105, twbs_lag150, twbs_lag90, twbs_lag0","ARIMAX(3,1,3)",3,1,3,-8197.093239263202,-8145.9324601121025,0.9721169227096748,0.8599542116388776
"twbs_lag120, twbs_lag135, twbs_lag90, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(2,1,1)",2,1,1,-7998.812490927956,-7956.1785083020395,0.9828737288852001,0.8056264498957207
"twbs_lag135, twbs_lag105, twbs_lag150, twbs_lag90, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7986.051461924792,-7934.890682773693,0.9842040288064345,0.8814310240681753
"twbs_lag105, twbs_lag150, twbs_lag90, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(2,1,3)",2,1,3,-7890.081396002526,-7834.657218588835,0.9903405386640827,0.8788954975881084
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag150, twbs_lag165","ARIMAX(2,1,3)",2,1,3,-7958.489713091012,-7911.592332202505,0.9910552046622015,0.8869446447946836
"twbs_lag120, twbs_lag105, twbs_lag90, twbs_lag165","ARIMAX(3,1,3)",3,1,3,-8032.353711718037,-7985.456330829529,1.005441988828012,0.9012305304525043
"twbs_lag135, twbs_lag105, twbs_lag150","ARIMAX(3,1,3)",3,1,3,-8131.850863054229,-8089.216880428313,1.010032811611635,0.9044189841013891
"twbs_lag105, twbs_lag150, twbs_lag90, twbs_lag165","ARIMAX(3,1,3)",3,1,3,-8001.640383070491,-7954.743002181984,1.021227648861105,0.9141434640317555
"twbs_lag135, twbs_lag105, twbs_lag150, twbs_lag165","ARIMAX(3,1,3)",3,1,3,-7994.562031186248,-7947.66465029774,1.0268359166354073,0.9182107403072761
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag150, twbs_lag165, twbs_lag0","ARIMAX(3,1,3)",3,1,3,-7958.7698178884675,-7903.345640474777,1.0316017295097162,0.9233225389493588
"twbs_lag120, twbs_lag105, twbs_lag165","ARIMAX(3,1,3)",3,1,3,-8032.935846956141,-7990.301864330225,1.035019290201082,0.926101684878631
"twbs_lag135, twbs_lag105, twbs_lag150, twbs_lag165, twbs_lag0","ARIMAX(3,1,3)",3,1,3,-7965.667370398127,-7914.506591247027,1.0353447474584452,0.9261108009683827
"twbs_lag105, twbs_lag150, twbs_lag90","ARIMAX(3,1,3)",3,1,3,-8283.273391189186,-8240.639408563271,1.043641516831107,0.9240434963057935
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag150, twbs_lag0, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7974.460418720238,-7919.036241306547,1.044193538189357,0.9342709404288447
"twbs_lag105, twbs_lag90, twbs_lag165, twbs_lag180","ARIMAX(2,1,3)",2,1,3,-7970.403103013709,-7927.769120387793,1.047769160789675,0.9362543881313359
"twbs_lag120, twbs_lag105, twbs_lag150, twbs_lag90, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(2,1,3)",2,1,3,-7899.304843974574,-7843.880666560884,1.0507306272651409,0.9389980176851741
"twbs_lag135, twbs_lag105, twbs_lag90, twbs_lag165, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7903.941737870598,-7852.780958719499,1.0531164784472842,0.9410166819155714
"twbs_lag105, twbs_lag150, twbs_lag165","ARIMAX(3,1,3)",3,1,3,-8039.087213670074,-7996.453231044157,1.053177214436919,0.9409199517909985
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag150, twbs_lag90, twbs_lag165, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7873.1351493833035,-7813.447573707021,1.058139755539033,0.9451133237590118
"twbs_lag105, twbs_lag90, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(2,1,3)",2,1,3,-7935.128468694611,-7888.2310878061035,1.058146540136541,0.9457685877282844
"twbs_lag120, twbs_lag105, twbs_lag150, twbs_lag165","ARIMAX(3,1,3)",3,1,3,-8007.010456936958,-7960.11307604845,1.0590124342565717,0.9463922674511142
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag165, twbs_lag180","ARIMAX(2,1,3)",2,1,3,-7898.719715363418,-7851.82233447491,1.059644888711101,0.945896098695943
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag90, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7850.259993347164,-7790.572417670881,1.063717746466727,0.9513746827081042
